,timestamp,Ask,Bid,By on,Profits by Link,Volume,Total Profits in USDT,Cumulative of Total Profits in USDT
1771,2021-08-20 01:28:59,27.179,27.1825,Binance,0.003500000000002501,6.97,0.02439500000001743,169.02674534606527
1772,2021-08-20 01:29:02,27.165,27.1673,Binance,0.002300000000001745,2.49,0.005727000000004346,169.03247234606528
1773,2021-08-20 01:29:05,27.1584,27.16,Huobi,0.0015999999999998238,0.2,0.0003199999999999648,169.03279234606526
1774,2021-08-20 01:29:05,27.1596,27.16,Huobi,0.00039999999999906777,10.0,0.003999999999990678,169.03679234606525
1775,2021-08-20 01:29:07,27.1584,27.159,Huobi,0.0005999999999986017,0.431,0.0002585999999993973,169.03705094606525
1776,2021-08-20 01:29:11,27.1566,27.157,Huobi,0.00039999999999906777,3.388,0.0013551999999968415,169.03840614606526
1777,2021-08-20 01:29:12,27.1562,27.157,Huobi,0.0008000000000016882,3.941,0.0031528000000066534,169.04155894606527
1778,2021-08-20 01:29:14,27.167,27.1692,Binance,0.0021999999999984254,36.0,0.07919999999994332,169.12075894606522
1779,2021-08-20 01:29:14,27.167,27.1683,Binance,0.0012999999999969702,41.5,0.053949999999874265,169.1747089460651
1780,2021-08-20 01:29:14,27.167,27.1709,Binance,0.003899999999998016,7.16,0.027923999999985797,169.20263294606508
1781,2021-08-20 01:29:14,27.168,27.1683,Binance,0.0002999999999993008,26.0,0.0077999999999818215,169.21043294606505
1782,2021-08-20 01:29:16,27.168,27.1683,Binance,0.0002999999999993008,67.5,0.020249999999952806,169.230682946065
1783,2021-08-20 01:29:16,27.168,27.171,Binance,0.0030000000000001137,9.39,0.02817000000000107,169.258852946065
1784,2021-08-20 01:29:17,27.169,27.171,Binance,0.0019999999999988916,0.21,0.0004199999999997672,169.25927294606498
1785,2021-08-20 01:29:18,27.164,27.1644,Binance,0.00039999999999906777,36.0,0.01439999999996644,169.27367294606495
1786,2021-08-20 01:29:21,27.137,27.1374,Binance,0.00039999999999906777,30.981,0.01239239999997112,169.28606534606493
1787,2021-08-20 01:29:25,27.133,27.1337,Binance,0.0007000000000019213,20.649999999999995,0.014455000000039672,169.30052034606496
1788,2021-08-20 01:29:25,27.133,27.1338,Binance,0.0008000000000016882,0.98,0.0007840000000016545,169.30130434606497
1789,2021-08-20 01:29:25,27.132,27.1343,Binance,0.0022999999999981924,36.108,0.08304839999993473,169.3843527460649
1790,2021-08-20 01:29:25,27.133,27.1343,Binance,0.001300000000000523,18.042,0.023454600000009436,169.4078073460649
1791,2021-08-20 01:29:25,27.132,27.1367,Binance,0.004699999999999704,0.21,0.0009869999999999378,169.40879434606492
1792,2021-08-20 01:29:25,27.132,27.1386,Binance,0.006599999999998829,36.0,0.23759999999995784,169.64639434606488
1793,2021-08-20 01:29:25,27.132,27.1359,Binance,0.003899999999998016,2.81,0.010958999999994426,169.65735334606487
1794,2021-08-20 01:29:27,27.131,27.1315,Binance,0.0004999999999988347,0.46,0.00022999999999946398,169.65758334606485
1795,2021-08-20 01:29:38,27.131,27.1313,Binance,0.0002999999999993008,0.87,0.0002609999999993917,169.65784434606485
1796,2021-08-20 01:29:38,27.131,27.1312,Binance,0.00019999999999953388,0.74,0.00014799999999965508,169.65799234606484
1797,2021-08-20 01:29:39,27.126,27.1272,Binance,0.0011999999999972033,2.5,0.0029999999999930083,169.66099234606483
1798,2021-08-20 01:29:39,27.126,27.1277,Binance,0.0016999999999995907,0.19,0.00032299999999992225,169.66131534606484
1799,2021-08-20 01:29:40,27.12,27.122,Binance,0.0019999999999988916,0.28,0.0005599999999996897,169.66187534606485
1800,2021-08-20 01:29:50,27.1289,27.13,Huobi,0.0010999999999974364,20.0,0.021999999999948727,169.68387534606478
1801,2021-08-20 01:29:59,27.129,27.1313,Binance,0.0022999999999981924,10.0,0.022999999999981924,169.70687534606475
1802,2021-08-20 01:30:00,27.129,27.1313,Binance,0.0022999999999981924,0.003,6.899999999994577e-06,169.70688224606474
1803,2021-08-20 01:30:05,27.1415,27.143,Huobi,0.0015000000000000568,0.458,0.000687000000000026,169.70756924606474
1804,2021-08-20 01:30:05,27.1415,27.142,Huobi,0.0004999999999988347,94.542,0.04727099999988983,169.75484024606462
1805,2021-08-20 01:30:09,27.163,27.1633,Binance,0.0002999999999993008,10.0,0.0029999999999930083,169.7578402460646
1806,2021-08-20 01:30:09,27.163,27.1632,Binance,0.00019999999999953388,10.0,0.001999999999995339,169.75984024606458
1807,2021-08-20 01:30:10,27.162,27.1635,Binance,0.0015000000000000568,10.0,0.015000000000000568,169.77484024606457
1808,2021-08-20 01:30:10,27.162,27.1634,Binance,0.00140000000000029,10.0,0.014000000000002899,169.78884024606458
1809,2021-08-20 01:30:20,27.198,27.2015,Binance,0.0034999999999989484,10.0,0.034999999999989484,169.82384024606458
1810,2021-08-20 01:30:21,27.198,27.2015,Binance,0.0034999999999989484,10.0,0.034999999999989484,169.85884024606457
